geo,NUTS_NAME,CNTR_CODE,year,dominant_class,dominant_koppen,pct_Dfb,pct_Dfc,pct_ET,pct_Cfb,pct_BSk,pct_EF,pct_BSh,pct_Csa,pct_Csb,pct_Dsb,pct_Cfa,pct_Dsc,pct_BWk,pct_Dfa,pct_Af,pct_Am,pct_Aw,pct_Cwa,pct_Cwb,pct_Dsa,pct_Cfc,pct_BWh,pct_Csc
AL01,Veri,AL,2000,14,Cfa,0.2628403097330695,0.0452258627100967,0.0005290635590920544,0.14243932210343394,0.0,0.0,0.0,0.23303764088127832,0.018941876065110476,0.008491695898147314,0.28956243246085794,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2001,14,Cfa,0.2651411968620428,0.04549889462468375,0.0033515076108866886,0.13977114341249944,0.01038110102083245,0.0007375383981265676,0.0007954765446154472,0.23985453509500834,0.025982045165971863,0.010356753344968566,0.304364142460947,0.0021595710138029582,0.0031508781618738773,0.0019828547485762267,0.004357965384940375,0.00426019073664233,0.003773446275015519,,,0.0,0.0015976855778212355,0.003721296703758689,0.003763595838746172
AL01,Veri,AL,2002,14,Cfa,0.26542554258575213,0.04870353641128199,0.00399778061510664,0.1371802249627983,0.014712176016460106,0.005703318697451148,0.00506519845308665,0.25143652857219845,0.030336705944986168,0.013302319553850396,0.30866725243570203,0.003178244512732558,0.001271718139938217,0.006473882178209918,0.008539813696788412,0.011242143304965735,0.005132604109206355,,,0.0,0.005170738491488709,0.009198212670436473,0.0
AL01,Veri,AL,2003,14,Cfa,0.2613599105140257,0.05246958512671457,0.007197194599965674,0.1368035941903072,0.012686181185463928,0.006866581651865132,0.009958020306353076,0.25653022713690404,0.029006221183875844,0.013699733540470625,0.3209774848958135,0.0091600449253489,0.010212439432865417,0.004949666014770779,0.0079356178068244,0.009742075766810836,0.004831712809212267,,,0.005351231928496264,0.003610320693207259,0.009430726043692533,0.005954919827195318
AL01,Veri,AL,2004,14,Cfa,0.25980740319432655,0.05353243642260718,0.01002773898616829,0.12731355349042983,0.01064037125874268,0.012211353563968533,0.006793511571722217,0.25814711225661463,0.025685258687214083,0.010642292540904942,0.3233167555853718,0.012699188692164947,0.01226981014328433,0.004601872266154836,0.013411757831584744,0.008425335556761311,4.39956131941914e-05,,,0.003409969103031746,0.003995812824270996,0.011483189551343117,0.006610514949283173
AL01,Veri,AL,2005,14,Cfa,0.2516730198884867,0.04925595765257203,0.0013576918776624734,0.11255173291956459,0.007093293180125376,0.00998719263024242,0.010650391155499692,0.25907658922263943,0.03186670351674247,0.010095286247275464,0.32228576108953694,0.008986477844297514,0.008909344833157097,0.0035288570451986138,0.0044769616742988926,0.00924663854326148,0.0032083041012097653,,,0.004148369567737512,0.0,0.005048583891164756,0.004473792561290947
AL01,Veri,AL,2006,14,Cfa,0.2494057288453969,0.04787302655371747,0.0,0.10127552604800322,0.0,0.0010437924454149042,0.0015781800006382943,0.2651981199697516,0.025547363972181315,0.007312723656952359,0.32302182569034243,0.008128701849727107,0.00292204440746621,0.0,0.006023036580408927,0.005265144344020851,0.00409059301856623,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2007,14,Cfa,0.24049904627169988,0.04827443850248954,0.0,0.08946817732256321,0.0,0.0,0.0,0.26435629861155285,0.018259452622977942,0.0066906164500354255,0.32711239017154153,0.00038110827059483886,0.0,0.0,0.0046061715926172635,0.0,7.863137052876177e-05,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2008,14,Cfa,0.2220072832513399,0.04220710971337238,0.0,0.0786977788519579,0.0,0.0,0.0,0.2682956013573516,0.01404411178464983,0.0029157335105830053,0.33119499029549043,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2009,14,Cfa,0.21971924331807388,0.035653109610453315,0.0,0.0668473973106532,0.0,0.0,0.0,0.272925397441908,0.01155474406429407,0.00015766408841038759,0.3303906292645765,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2010,14,Cfa,0.21280747939230524,0.03793314529779912,0.0,0.05705507162004687,0.0,0.0,0.0,0.2725352985402813,0.012339234454348398,0.003722615984705898,0.3365518437317785,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2011,14,Cfa,0.2113362671441646,0.03741038488783027,0.0,0.05303975811875584,0.0,0.0,0.0,0.2806171353918384,0.01092112414567117,0.006537399811155744,0.3450145475073937,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2012,14,Cfa,0.20530254817934285,0.04576394331106356,0.0,0.04797398227792625,0.0,0.0010375406029220768,0.0,0.2960009375606602,0.018167447609015955,0.009022539634716126,0.3523994912219783,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0008758337591604579,0.0
AL01,Veri,AL,2013,14,Cfa,0.2023710073654322,0.049886859810473416,0.0,0.04042320784607364,0.0,0.0,0.0006603558037422306,0.3089697386724347,0.023145864555365773,0.01786834613896464,0.36239045286936183,0.0,0.0,0.001362516559516327,0.0,0.0,0.0022210615675376834,,,0.004293820213462936,0.0,0.002502658962408614,0.0
